BILLING_ADDRESS,BILLING_ADDRESS_CITY_STATE_ZIP,AGENT_ENTITY,AGENT_FIRST_NAME,AGENT_LAST_NAME,AGENT_MIDDLE_NAME,AGENT_PHONE,SITE_ADDRESS,BBL_CITY_STATE_ZIP,BILLING_NAME,CUSTOMER_NUMBER,DC_ADDR_FLAG,LICENSECATEGORY,ENTITY_NAME,FIRST_NAME,LAST_NAME,DCS_ADD_DATE,LICENSE_END_DATE,LICENSE_ISSUE_DATE,LICENSE_START_DATE,LICENSE_CATEGORY_TEXT,LICENSE_CATEGORY_CODE,LICENSESTATUS,PHONE_NUMBER,CITY,STATE,ZIP,BBL_LICENSE_FACT_ID,LATITUDE,LONGITUDE,XCOORD,YCOORD,ZIPCODE,MARADDRESSREPOSITORYID,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,BUSINESSIMPROVEMENTDISTRICT,MAINSTREET,DCS_LAST_MOD_DTTM,GLOBALID,OBJECTID
,1414 14th St NW Washinngton DC 20005 ,Nandlal Gevaria,,,,,1414 14TH ST NW ,WASHINGTON DC 20005,NG Liquor Enterprises,930820000014,Y,Grocery Store,NG Liquor Enterprises,,,,2026/07/31 04:00:00+00,2024/08/12 04:00:00+00,2024/08/01 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20005,551037255,38.90938726,-77.03222381,397205.15,137947.82,,218119,2,ANC 2F,2F03,SECOND,208,Cluster 7,,,2026/04/03 08:30:26+00,{4E8BF187-0247-6B09-E063-782F520A8A93},393126968
,1460 PARK RD. NW WASHINGTON DC 20009 ,2118 14TH STREET INC,,,,,1460 PARK RD NW ,WASHINGTON DC 20010,GROCERY BELEN,930826000005,Y,Grocery Store,GROCERY BELEN,,,,2027/10/31 04:00:00+00,2025/10/31 04:00:00+00,2025/10/31 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20010,551003297,38.93076226,-77.03460584,396999.45,140320.7,,234395,1,ANC 1A,1A05,THIRD,302,Cluster 2,,,2026/04/03 08:30:23+00,{4E8BF186-9065-6B09-E063-782F520A8A93},393097814
,"1500 MASS AVE., NW A WASHINGTON DC 20005 ",CHUNG SOO MOON,,,,,1500 MASSACHUSETTS AVE NW ,WASHINGTON DC 20005,MOON RUN,930825000017,Y,Grocery Store,MOON RUN,,,,2027/01/31 05:00:00+00,2025/02/25 05:00:00+00,2025/02/01 05:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20005,551003289,38.90650274,-77.03550892,396920.1,137627.72,,242324,2,ANC 2C,2C02,SECOND,208,Cluster 6,Downtown BID,,2026/04/03 08:30:23+00,{4E8BF186-9060-6B09-E063-782F520A8A93},393097809
,"1500 OGDEN STREET, N WASHINGTON DC 20010 ",,ABEBECH,NEGA,M,2022345630,1500 OGDEN ST NW ,WASHINGTON DC 20010,"BERHANU AND NEGA, LLC",67003608,Y,Grocery Store,"BERHANU AND NEGA, LLC",,,,2027/05/31 04:00:00+00,2025/06/03 04:00:00+00,2025/06/01 04:00:00+00,Public Health Food Establish,9308,Active,2026673432,WASHINGTON,DC,20010,550940661,38.93539792,-77.03494396,396970.33,140835.31,,234686,1,ANC 1D,1D06,FOURTH,408,Cluster 2,,,2026/04/03 08:30:18+00,{4E8BF185-B8B9-6B09-E063-782F520A8A93},393042602
,1503 NORTH CAPITOL S WASHINGTON DC 20002 ,Amio Jahan,,,,,1503 NORTH CAPITOL ST NE ,WASHINGTON DC 20002,North Capitol Convenience LLC.,930821000013,Y,Grocery Store,North Capitol Convenience LLC.,,,,2027/06/30 04:00:00+00,2025/06/09 04:00:00+00,2025/07/01 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20002,551037257,38.90984723,-77.0087262,399243.16,137998.46,,62457,5,ANC 5F,5F07,FIFTH,501,Cluster 21,NoMa BID,,2026/04/03 08:30:26+00,{4E8BF187-0249-6B09-E063-782F520A8A93},393126970
,1515 WISCONSIN AVE N WASHINGTON DC 20007 ,REGISTERED AGENTS INC.,,,,,1515 WISCONSIN AVE NW ,WASHINGTON DC 20007,AKSE,930824000025,Y,Grocery Store,AKSE,,,,2026/08/31 04:00:00+00,2024/09/23 04:00:00+00,2024/09/01 04:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20007,551010447,38.90969195,-77.06424025,394428.31,137983.11,,223924,2,ANC 2E,2E03,SECOND,206,Cluster 4,Georgetown BID,,2026/04/03 08:30:23+00,{4E8BF186-A70F-6B09-E063-782F520A8A93},393103616
,1517 MARION BARRY AV WASHINGTON DC 20020 ,PROFESSIONAL CORPORATION SERVICE INC,,,,,1517 MARION BARRY AVE SE ,WASHINGTON DC 20020,ABYO LLC,930820000004,Y,Grocery Store,ABYO LLC,,,,2028/02/29 05:00:00+00,2026/02/09 05:00:00+00,2026/02/09 05:00:00+00,Public Health Food Establish,4103,Active,2026428567,WASHINGTON,DC,20020,550988776,38.86614159,-76.98270428,401501.01,133146.9,,338267,8,ANC 8A,8A05,SEVENTH,701,Cluster 28,Anacostia BID,,2026/04/03 08:30:21+00,{4E8BF186-5D61-6B09-E063-782F520A8A93},393084754
,1543 7TH ST NW WASHINGTON DC 20001 ,Adanech Gebremeskel,,,,,1543 7TH ST NW ,WASHINGTON DC 20001,TOBACCO KING DC,930824000020,Y,Grocery Store,TOBACCO KING DC,,,,2026/07/31 04:00:00+00,2024/08/26 04:00:00+00,2024/08/01 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20001,550968844,38.91082989,-77.02167445,398120.16,138107.73,,218342,2,ANC 2G,2G03,THIRD,308,Cluster 7,,,2026/04/03 08:30:19+00,{4E8BF189-547D-6B09-E063-782F520A8A93},393279086
,"1100 4th Street, SW Washington DC 20024 ",REPUBLIC REGISTERED AGENT  LLC,,,,,1600 TAYLOR ST NE ,Washington DC 20017,KP MARKETING,930825000015,Y,Grocery Store,KP MARKETING,,,,2029/04/30 04:00:00+00,2025/02/18 05:00:00+00,2029/02/01 05:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20017,551036471,38.94098207,-76.98220189,401542.99,141454.77,,286330,5,ANC 5B,5B02,FIFTH,504,Cluster 20,,,2026/04/03 08:30:26+00,{4E8BF187-00DE-6B09-E063-782F520A8A93},393126607
,1611 Rhode Island Av Washington DC DC 20018 ,,Fekadu,Lema,A.,4046419924,1611 RHODE ISLAND AVE NE ,WASHINGTON DC 20018,NANA BABA INC.,930821000001,Y,Grocery Store,NANA BABA INC.,,,,2026/09/30 04:00:00+00,2024/08/05 04:00:00+00,2024/10/01 04:00:00+00,Public Health Food Establish,4103,Active,4046419924,WASHINGTON,DC,20018,551032863,38.92621455,-76.98129001,401622.38,139815.5,,59933,5,ANC 5C,5C07,FIFTH,505,Cluster 22,,,2026/04/03 08:30:25+00,{4E8BF189-9C29-6B09-E063-782F520A8A93},393297434
,1613 MONTELLO AVENUE WASHINGTON DC 20002 ,,BOBBY,GILCHRIST,,(202) 388-7575,1613 MONTELLO AVE NE ,WASHINGTON DC 20002,JABBO'S COMPACT MARKET INC.,930819000011,Y,Grocery Store,JABBO'S COMPACT MARKET INC.,,,,2027/02/28 05:00:00+00,2025/02/28 05:00:00+00,2025/03/01 05:00:00+00,Public Health Food Establish,4003,Active,2023887575,WASHINGTON,DC,20002,551033144,38.90735929,-76.9866213,401160.4,137722.29,,59807,5,ANC 5D,5D04,FIFTH,506,Cluster 23,,,2026/04/03 08:30:26+00,{4E8BF186-F43F-6B09-E063-782F520A8A93},393123376
,1618 8th STREET N.W. WASHINGTON DC 20001 ,,BEFKADU,ALEMU,,2023878969,1618 8TH ST NW ,WASHINGTON DC 20001,ABT LIQUOR L.L.C.,930819000006,Y,Grocery Store,ABT LIQUOR L.L.C.,,,,2026/09/30 04:00:00+00,2025/06/02 04:00:00+00,2024/10/01 04:00:00+00,Public Health Food Establish,4103,Active,2023878969,WASHINGTON,DC,20001,551039120,38.91166518,-77.02321524,397986.55,138200.45,,225828,2,ANC 2G,2G02,THIRD,307,Cluster 7,,,2026/04/03 08:30:26+00,{4E8BF187-09E1-6B09-E063-782F520A8A93},393128914
,1369 New York Ave NE Washington DC 20002 ,Cullen Gilchrist,,,,,1625 ECKINGTON PL NE ,WASHINGTON DC 20002,Eckington UK LLC,930823000017,Y,Grocery Store,Eckington UK LLC,,,,2027/02/28 05:00:00+00,2025/05/15 04:00:00+00,2025/03/01 05:00:00+00,Public Health Food Establish,4103,Active,,WASHINGTON,DC,20002,551039125,38.91199724,-77.00399957,399653.12,138237.1,,145957,5,ANC 5F,5F06,FIFTH,502,Cluster 21,NoMa BID,,2026/04/03 08:30:26+00,{4E8BF187-09E6-6B09-E063-782F520A8A93},393128919
,1625 Eckington Pl NE WASHINGTON DC 20002 ,James Corbitt,,,,,1625 ECKINGTON PL NE ,WASHINGTON DC 20002,Notsoguilty,930826000010,Y,Grocery Store,Notsoguilty,,,,2029/12/31 05:00:00+00,2025/12/26 05:00:00+00,2025/12/26 05:00:00+00,Public Health Food Establish,9306,Active,,WASHINGTON,DC,20002,551002114,38.91199724,-77.00399957,399653.12,138237.1,,145957,5,ANC 5F,5F06,FIFTH,502,Cluster 21,NoMa BID,,2026/04/03 08:30:23+00,{4E8BF189-44D2-6B09-E063-782F520A8A93},393275075
,1629 COLUMBIA RD NW WASHINGTON DC 20009 ,Sajid Shah,,,,,1629 COLUMBIA RD ,WASHINGTON DC 20009,Sodo,930825000020,Y,Grocery Store,Sodo,,,,2027/02/28 05:00:00+00,2025/03/10 04:00:00+00,2025/03/01 05:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20009,551003291,38.92610461,-77.03784927,396718.01,139803.81,,236284,1,ANC 1C,1C06,THIRD,303,Cluster 1,Adams Morgan BID,,2026/04/03 08:30:23+00,{4E8BF186-9062-6B09-E063-782F520A8A93},393097811
,1727 NORTH CAPITOL S WASHINGTON DC 20002 ,,GENET M.,YAEKOB,,(301) 434-1836,1727 NORTH CAPITOL ST NE ,WASHINGTON DC 20002,,54001630,Y,Grocery Store,,TIGST M. YAEKOB,AND GENET M. YAEKOB,,2028/03/31 04:00:00+00,2026/01/22 05:00:00+00,2026/04/01 04:00:00+00,Public Health Food Establish,9308,Active,3014341836,WASHINGTON,DC,20002,550971674,38.91347009,-77.00872791,399243.05,138400.59,,56945,5,ANC 5F,5F07,FIFTH,502,Cluster 21,,,2026/04/03 08:30:20+00,{4E8BF186-2470-6B09-E063-782F520A8A93},393070177
,1733 COLUMBIA RD NW WASHINGTON DC 20009 ,MOHAMMED Y JEMAL,,,,,1733 COLUMBIA RD NW ,WASHINGTON DC 20009,COLOMBIA RD MARKET,930825000045,Y,Grocery Store,COLOMBIA RD MARKET,,,,2027/09/30 04:00:00+00,2025/09/15 04:00:00+00,2025/09/15 04:00:00+00,Public Health Food Establish,4103,Active,,WASHINGTON,DC,20009,551032866,38.92461373,-77.04020346,396513.8,139638.36,,235942,1,ANC 1C,1C06,THIRD,303,Cluster 1,Adams Morgan BID,,2026/04/03 08:30:25+00,{4E8BF186-F4AC-6B09-E063-782F520A8A93},393123485
,1812 1/2 HAMLIN ST N WASHINGTON DC 20018 ,ADANECH GEBREMESKEL,,,,,1812 HAMLIN ST NE ,WASHINGTON DC 20018,NAOM,930824000010,Y,Grocery Store,NAOM,,,,2028/02/29 05:00:00+00,2026/02/26 05:00:00+00,2026/02/26 05:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20018,551037261,38.92845685,-76.97839423,401873.42,140064.47,,307544,5,ANC 5B,5B06,FIFTH,504,Cluster 22,,,2026/04/03 08:30:26+00,{4E8BF187-024D-6B09-E063-782F520A8A93},393126974
,1824 COLUMBIA ROAD N WASHINGTON DC 20009 ,,MAUEL,SOLLOSO,,2024135263,1824 COLUMBIA RD NW ,WASHINGTON DC 20009,FOUR BROTHERS LLC.,930817000036,Y,Grocery Store,FOUR BROTHERS LLC.,,,,2027/08/31 04:00:00+00,2025/08/06 04:00:00+00,2025/08/06 04:00:00+00,Public Health Food Establish,9308,Active,2024135263,WASHINGTON,DC,20009,551037251,38.92196563,-77.04304373,396267.37,139344.51,,235409,1,ANC 1C,1C03,THIRD,303,Cluster 1,Adams Morgan BID,,2026/04/03 08:30:26+00,{4E8BF187-0244-6B09-E063-782F520A8A93},393126965
,1828 1st Street N.W. WASHINGTON DC 20001 ,,ABIY,GHIRMAY,,2704039590,1828 1ST ST NW ,WASHINGTON DC 20001,SIENNA LLC.,930821000006,Y,Grocery Store,SIENNA LLC.,,,,2027/04/30 04:00:00+00,2025/04/30 04:00:00+00,2025/05/01 04:00:00+00,Public Health Food Establish,9305,Active,2704039590,WASHINGTON,DC,20001,551037165,38.91513371,-77.01240397,398924.26,138585.34,,218526,5,ANC 5E,5E03,THIRD,308,Cluster 21,,,2026/04/03 08:30:26+00,{4E8BF187-02A1-6B09-E063-782F520A8A93},393127058
,1828 1st Street N.W. Washington DC 20001 ,Saem Kifle,,,,,1828 1ST ST NW ,WASHINGTON DC 20001,Saemyodi LLC.,930826000009,Y,Grocery Store,Saemyodi LLC.,,,,2027/12/31 05:00:00+00,2025/12/22 05:00:00+00,2025/12/22 05:00:00+00,Public Health Food Establish,9101,Active,2023207220,WASHINGTON,DC,20001,551036475,38.91513371,-77.01240397,398924.26,138585.34,,218526,5,ANC 5E,5E03,THIRD,308,Cluster 21,,,2026/04/03 08:30:26+00,{4E8BF186-FFBF-6B09-E063-782F520A8A93},393126320
,1845 7th street nw Washington DC 20001 ,Adanech Gebremeskel,,,,,1845 7TH ST NW ,WASHINGTON DC 20001,HANNIM,930826000002,Y,Grocery Store,HANNIM,,,,2029/10/31 04:00:00+00,2025/10/14 04:00:00+00,2025/10/14 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20001,550999400,38.91518115,-77.02171371,398116.87,138590.72,,279439,1,ANC 1B,1B02,THIRD,306,Cluster 3,,,2026/04/03 08:30:22+00,{4E8BF186-834B-6B09-E063-782F520A8A93},393094460
